****                   MendelIHT Version 1.4.1                  ****
****     Benjamin Chu, Kevin Keys, Chris German, Hua Zhou       ****
****   Jin Zhou, Eric Sobel, Janet Sinsheimer, Kenneth Lange    ****
****                                                            ****
****                 Please cite our paper!                     ****
****         https://doi.org/10.1093/gigascience/giaa044        ****

Initializing β to univariate regression values...
...completed in 206.2 seconds.

Running sparse Multivariate Gaussian regression
Number of threads = 36
Link functin = GLM.IdentityLink()
Sparsity parameter (k) = 197
Prior weight scaling = off
Doubly sparse projection = off
Debias = off
Max IHT iterations = 1500
Converging when tol < 0.0001 and iteration ≥ 10:

Iteration 81: loglikelihood = -177379.10104536012, backtracks = 2, tol = 0.0003429727706894999
Iteration 82: loglikelihood = -177377.59194743677, backtracks = 2, tol = 0.0003408173091406508
Iteration 83: loglikelihood = -177376.11603926477, backtracks = 2, tol = 0.00033883135369026625
Iteration 84: loglikelihood = -177374.66725240072, backtracks = 2, tol = 0.00033699864625684944
Iteration 85: loglikelihood = -177366.36438598332, backtracks = 2, tol = 0.0014948351579365377
Iteration 86: loglikelihood = -177329.52400059748, backtracks = 0, tol = 0.005791710484697122
Iteration 87: loglikelihood = -177109.3750093743, backtracks = 1, tol = 0.005788376889117994
Iteration 88: loglikelihood = -176999.32410776787, backtracks = 2, tol = 0.0031833119037035953
Iteration 89: loglikelihood = -176974.6733763112, backtracks = 2, tol = 0.0010574570243955996
Iteration 90: loglikelihood = -176958.68548529773, backtracks = 2, tol = 0.0009461972582984958
Iteration 91: loglikelihood = -176947.50094137288, backtracks = 2, tol = 0.000843868099047712
Iteration 92: loglikelihood = -176939.21226310887, backtracks = 2, tol = 0.0007568316718532274
Iteration 93: loglikelihood = -176932.80056854943, backtracks = 2, tol = 0.0006813885470733957
Iteration 94: loglikelihood = -176912.85896129534, backtracks = 1, tol = 0.0037580247179251043
Iteration 95: loglikelihood = -176869.43889745476, backtracks = 1, tol = 0.003755936127810078
Iteration 96: loglikelihood = -176864.53455151257, backtracks = 1, tol = 0.003541476046072045
Iteration 97: loglikelihood = -176836.61523060827, backtracks = 1, tol = 0.0035398815331861445
Iteration 98: loglikelihood = -176814.09492775862, backtracks = 2, tol = 0.0024720565590870803
Iteration 99: loglikelihood = -176782.68842556697, backtracks = 1, tol = 0.003664163407165666
Iteration 100: loglikelihood = -176774.907396455, backtracks = 1, tol = 0.0036620398631006597
Iteration 101: loglikelihood = -176759.76602538902, backtracks = 1, tol = 0.0035373335490111214
Iteration 102: loglikelihood = -176757.08901022447, backtracks = 2, tol = 0.00037790736132031934
Iteration 103: loglikelihood = -176754.86438953638, backtracks = 2, tol = 0.00037351200754683685
Iteration 104: loglikelihood = -176752.9012623186, backtracks = 2, tol = 0.00037147149119688813
Iteration 105: loglikelihood = -176751.10858691827, backtracks = 2, tol = 0.0003702491967858037
Iteration 106: loglikelihood = -176749.4328748039, backtracks = 2, tol = 0.00036946718102137454
Iteration 107: loglikelihood = -176747.83950642328, backtracks = 2, tol = 0.00036882070483605227
Iteration 108: loglikelihood = -176746.30515009767, backtracks = 2, tol = 0.00036823858553883547
Iteration 109: loglikelihood = -176744.8137757872, backtracks = 2, tol = 0.0003677061831445063
Iteration 110: loglikelihood = -176734.09825812627, backtracks = 1, tol = 0.0033039095269695317
Iteration 111: loglikelihood = -176632.70242181892, backtracks = 0, tol = 0.006269581621001827
Iteration 112: loglikelihood = -176584.69039301685, backtracks = 2, tol = 0.0019562485705963144
Iteration 113: loglikelihood = -176540.7784232711, backtracks = 1, tol = 0.00450585511263767
Iteration 114: loglikelihood = -176517.8126318949, backtracks = 1, tol = 0.003591136890418087
Iteration 115: loglikelihood = -176503.044130262, backtracks = 1, tol = 0.002109725432522348
Iteration 116: loglikelihood = -176495.86195244043, backtracks = 1, tol = 0.0012287127025147303
Iteration 117: loglikelihood = -176491.05985797182, backtracks = 1, tol = 0.0007361812064835306
Iteration 118: loglikelihood = -176487.2693492441, backtracks = 1, tol = 0.0007343659354030611
Iteration 119: loglikelihood = -176483.97170440853, backtracks = 1, tol = 0.0007323499920993956
Iteration 120: loglikelihood = -176480.94050283672, backtracks = 1, tol = 0.0007313080474684672
Iteration 121: loglikelihood = -176478.06611718587, backtracks = 1, tol = 0.0007301683061528836
Iteration 122: loglikelihood = -176464.71091458516, backtracks = 1, tol = 0.003430338306506925
Iteration 123: loglikelihood = -176455.0828440332, backtracks = 1, tol = 0.0019582655658348033
Iteration 124: loglikelihood = -176450.20940350788, backtracks = 1, tol = 0.0011174308770316975
Iteration 125: loglikelihood = -176446.87718216682, backtracks = 1, tol = 0.0007291646475479339
Iteration 126: loglikelihood = -176444.04794257449, backtracks = 1, tol = 0.0007285591683990593
